"id","fqdn/ip","port","severity","finding","cve","cwe"
"HTTP_clock_skew","emploi.lefigaro.fr/99.86.37.124","443","INFO","0 seconds from localtime","",""
"HSTS","emploi.lefigaro.fr/99.86.37.124","443","LOW","not offered","",""
"HPKP","emploi.lefigaro.fr/99.86.37.124","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","emploi.lefigaro.fr/99.86.37.124","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","emploi.lefigaro.fr/99.86.37.124","443","INFO","X-Powered-By: Express","",""
"cookie_count","emploi.lefigaro.fr/99.86.37.124","443","INFO","1 at '/'","",""
"cookie_secure","emploi.lefigaro.fr/99.86.37.124","443","INFO","0/1 at '/' marked as secure","",""
"cookie_httponly","emploi.lefigaro.fr/99.86.37.124","443","INFO","0/1 at '/' marked as HttpOnly","",""
"security_headers","emploi.lefigaro.fr/99.86.37.124","443","MEDIUM","--","",""
"banner_reverseproxy","emploi.lefigaro.fr/99.86.37.124","443","INFO","X-Cache: Miss from cloudfrontVia: 1.1 adc2002956acc4d61bfbf3b973fdf247.cloudfront.net (CloudFront)","","CWE-200"
"heartbleed","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","emploi.lefigaro.fr/99.86.37.124","443","WARN","OpenSSL handshake didn't succeed","","CWE-310"
"secure_client_renego","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","emploi.lefigaro.fr/99.86.37.124","443","MEDIUM","potentially VULNERABLE, gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","emploi.lefigaro.fr/99.86.37.124","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","emploi.lefigaro.fr/99.86.37.124","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=BF2D3FE664B8A5B4959CA044678DB2E8C9637438BBC7B54358EC83A88F112CCC","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","emploi.lefigaro.fr/99.86.37.124","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","emploi.lefigaro.fr/99.86.37.124","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
